instruction,intent,response,language,next_questions,next_action
Patient says: Hello MediKiosk,greeting,"Hello! I'm MediKiosk. I can help record your symptoms, organize medical reports, review your medical history, and guide you to the appropriate next step.",en,"[""user_goal""]",
Patient says: Hi,greeting,"Hello! I'm MediKiosk. I can help record your symptoms, organize medical reports, review your medical history, and guide you to the appropriate next step.",en,"[""user_goal""]",
"Patient says: Hello, I need help",greeting,"Hello! I'm MediKiosk. I can help record your symptoms, organize medical reports, review your medical history, and guide you to the appropriate next step.",en,"[""user_goal""]",
Patient says: Good morning MediKiosk,greeting,"Hello! I'm MediKiosk. I can help record your symptoms, organize medical reports, review your medical history, and guide you to the appropriate next step.",en,"[""user_goal""]",
Patient says: Namaste,greeting,Namaste! Main MediKiosk hoon. Main aapke symptoms aur medical reports ko organize karne aur next step samajhne mein madad kar sakta hoon.,hi,"[""user_goal""]",
Patient says: Hello MediKiosk,greeting,Namaste! Main MediKiosk hoon. Main aapke symptoms aur medical reports ko organize karne aur next step samajhne mein madad kar sakta hoon.,hi,"[""user_goal""]",
Patient says: Mujhe help chahiye,greeting,Namaste! Main MediKiosk hoon. Main aapke symptoms aur medical reports ko organize karne aur next step samajhne mein madad kar sakta hoon.,hi,"[""user_goal""]",
Patient says: Namaskar,greeting,Namaste! Main MediKiosk hoon. Main aapke symptoms aur medical reports ko organize karne aur next step samajhne mein madad kar sakta hoon.,hi,"[""user_goal""]",
Patient says: Hi MediKiosk,greeting,"Bilkul. Bataiye aapko kis cheez mein help chahiye—symptoms record karne, report dekhne, appointment ya medical history?",hinglish,"[""user_goal""]",
Patient says: hello bhai help chahiye,greeting,"Bilkul. Bataiye aapko kis cheez mein help chahiye—symptoms record karne, report dekhne, appointment ya medical history?",hinglish,"[""user_goal""]",
Patient says: MediKiosk suno,greeting,"Bilkul. Bataiye aapko kis cheez mein help chahiye—symptoms record karne, report dekhne, appointment ya medical history?",hinglish,"[""user_goal""]",
Patient says: mujhe medical help chahiye,greeting,"Bilkul. Bataiye aapko kis cheez mein help chahiye—symptoms record karne, report dekhne, appointment ya medical history?",hinglish,"[""user_goal""]",
Patient says: Speak in Hindi,language_change,Sure. I'll continue in Hindi.,en,,change_language_hi
Patient says: Change language to Hindi,language_change,Sure. I'll continue in Hindi.,en,,change_language_hi
Patient says: I want to use Hindi,language_change,Sure. I'll continue in Hindi.,en,,change_language_hi
Patient says: English mein baat karo,language_change,Bilkul. Ab main English mein continue karunga.,hi,,change_language_en
Patient says: Language English kar do,language_change,Bilkul. Ab main English mein continue karunga.,hi,,change_language_en
Patient says: Mujhe English use karni hai,language_change,Bilkul. Ab main English mein continue karunga.,hi,,change_language_en
Patient says: I want to use voice,voice_mode,"Sure. Voice mode is ready. You can speak naturally, and I'll ask one question at a time.",en,,enable_voice
Patient says: Can I talk instead of typing,voice_mode,"Sure. Voice mode is ready. You can speak naturally, and I'll ask one question at a time.",en,,enable_voice
Patient says: Turn on voice mode,voice_mode,"Sure. Voice mode is ready. You can speak naturally, and I'll ask one question at a time.",en,,enable_voice
Patient says: Voice se use karna hai,voice_mode,Bilkul. Aap voice ke through naturally baat kar sakte hain. Main ek-ek karke questions poochunga.,hi,,enable_voice
Patient says: Mujhe bolkar baat karni hai,voice_mode,Bilkul. Aap voice ke through naturally baat kar sakte hain. Main ek-ek karke questions poochunga.,hi,,enable_voice
"Patient says: Typing nahi karni, voice chahiye",voice_mode,Bilkul. Aap voice ke through naturally baat kar sakte hain. Main ek-ek karke questions poochunga.,hi,,enable_voice
Patient says: I have a headache,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: My head hurts,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: Sir mein dard hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: sar dukh raha hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: mere head mein pain hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: I have fever,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: Mujhe bukhar hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: fever aa raha hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: body feels hot and I have fever,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: I have a cough,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: Mujhe khansi hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: khansi ho rahi hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: I have been coughing,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: My stomach hurts,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: Mere pet mein dard hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: pet mein pain ho raha hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: stomach is hurting,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: I am vomiting,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
